topic-id,word,lift
5,年dd,7.843995
5,指令d,7.676092
5,执行d,7.590183
5,公司d,7.561538
5,处理器,7.542207
5,月dd,7.527551
5,电脑d,7.515961
5,计算机,7.503896
5,设计d,7.496506
5,缓存d,7.470700
5,开发d,7.461402
5,模型d,7.428843
5,功能d,7.383605
5,美国d,7.382133
5,程式d,7.381441
5,方式d,7.379171
5,提供d,7.351627
5,版本d,7.349766
5,架构d,7.321561
5,机器人,7.318215
8,training,7.618109
8,learning,7.591437
8,neural,7.590414
8,function,7.577873
8,parameters,7.492810
8,probability,7.442668
8,weights,7.430371
8,classification,7.357660
8,finite,7.326623
8,automaton,7.240616
8,graph,7.215086
8,validation,7.189427
8,variables,7.180907
8,supervised,7.134074
8,string,7.104294
8,regression,7.101107
8,hidden,7.089108
8,probabilities,7.078836
8,estimate,7.069999
8,gradient,7.067868
10,instructions,8.387548
10,processors,8.364154
10,instruction,8.294796
10,cache,8.269600
10,processor,8.220670
10,execution,8.201390
10,cpus,8.161930
10,register,8.128901
10,bits,8.055878
10,branch,7.987085
10,buffer,7.947190
10,registers,7.935582
10,architectures,7.834683
10,memory,7.765929
10,designs,7.764941
10,caches,7.762179
10,stream,7.679644
10,executed,7.660208
10,simd,7.623979
10,clock,7.620998
4,kinect,11.510028
4,cyborgs,11.015887
4,robot,10.182452
4,robots,9.970823
4,laws,9.838430
4,media,9.775751
4,law,9.743137
4,humans,9.426485
4,kurzweil,9.379458
4,medical,9.377274
4,social,9.262017
4,game,9.250882
4,success,9.179166
4,asimov,9.129362
4,wars,9.088839
4,active,9.069952
4,short,9.045069
4,successful,9.018207
4,technological,8.978824
4,aibo,8.975294
1,ethernet,9.859615
1,supports,9.583083
1,protocol,9.571458
1,solaris,9.377619
1,command,9.362074
1,version,9.278172
1,apple,9.193872
1,dos,9.177135
1,proprietary,9.175188
1,client,9.124574
1,host,9.026098
1,sas,9.015578
1,party,9.014179
1,directory,8.960282
1,protocols,8.924722
1,fiber,8.923682
1,interfaces,8.904363
1,netware,8.877227
1,networking,8.837472
1,prodos,8.836442
6,abu,12.399554
6,university,11.983309
6,intelligence,11.621711
6,science,11.543659
6,quantum,11.461858
6,book,11.399770
6,david,11.375112
6,bell,11.303806
6,institute,11.270820
6,mathematics,11.180936
6,school,11.157553
6,labs,11.119565
6,conference,11.099432
6,department,11.093463
6,dijkstra,11.090516
6,awarded,11.051500
6,society,11.033831
6,award,11.032599
6,association,11.005782
6,students,10.994692
9,image,16.515613
9,images,16.473652
9,color,15.804039
9,pixel,15.694599
9,imaging,15.589143
9,projection,15.548106
9,camera,15.505624
9,pixels,15.468559
9,vision,15.430352
9,colors,15.165840
9,segmentation,15.007688
9,interference,14.915662
9,resolution,14.914744
9,light,14.835849
9,eye,14.762749
9,stereopsis,14.733551
9,intensity,14.683252
9,hologram,14.662415
9,histogram,14.660246
9,holography,14.581661
7,honda,20.224024
7,toyota,20.087900
7,vehicles,20.032450
7,car,19.489576
7,electric,19.456184
7,laptops,19.198720
7,sales,19.172116
7,cooling,19.091626
7,cars,19.066704
7,toshiba,19.051137
7,japan,19.033381
7,laptop,18.988504
7,heat,18.982863
7,panasonic,18.968550
7,abb,18.947893
7,yamaha,18.859637
7,hitachi,18.717685
7,automobile,18.707083
7,japanese,18.691739
7,driving,18.464376
3,图像d,21.933209
3,函数d,21.640719
3,学习d,21.521985
3,影像d,21.206931
3,像素d,21.193666
3,特征d,20.657208
3,状态d,20.478750
3,有限d,20.421847
3,算法d,20.343947
3,分类d,20.257333
3,词dd,20.152187
3,细胞d,20.124416
3,机器翻译,20.124416
3,集合d,20.080646
3,全息d,20.075731
3,颜色d,19.961441
3,自动机,19.912175
3,输入d,19.904870
3,识别d,19.859929
3,点dd,19.737878
2,speech,37.036511
2,blender,36.411713
2,vocabulary,35.637973
2,corpus,35.050807
2,sentences,34.983655
2,retrieval,34.700348
2,convolution,34.539475
2,phrases,34.497242
2,synthesis,34.198208
2,documents,34.006864
2,linguistic,33.523912
2,corpora,33.517996
2,dictionary,33.344435
2,spell,33.236524
2,grammar,33.024910
2,translation,32.765287
2,document,32.548458
2,sentence,32.268182
2,vocoder,31.947444
2,translate,31.898198
