topic-id,word,probability
5,年dd,0.027082
5,中dd,0.015992
5,指令d,0.011416
5,系统d,0.011165
5,执行d,0.008095
5,公司d,0.007483
5,处理器,0.007041
5,计算机,0.006919
5,月dd,0.006764
5,电脑d,0.006331
5,设计d,0.006087
5,cpu,0.005962
5,提供d,0.005853
5,技术d,0.005680
5,缓存d,0.005522
5,研究d,0.005504
5,数据d,0.005404
5,开发d,0.005375
5,网络d,0.005375
5,模型d,0.004862
8,data,0.018112
8,learning,0.015289
8,function,0.013485
8,model,0.012799
8,set,0.011572
8,algorithm,0.009637
8,input,0.008944
8,training,0.007965
8,algorithms,0.007749
8,output,0.007471
8,models,0.007198
8,machine,0.007178
8,neural,0.006983
8,methods,0.006514
8,network,0.006485
8,time,0.006355
8,networks,0.006062
8,values,0.005127
8,distribution,0.005040
8,functions,0.005037
10,memory,0.023653
10,instruction,0.017171
10,data,0.015921
10,instructions,0.013378
10,cache,0.012699
10,processor,0.012632
10,cpu,0.012281
10,processors,0.011967
10,register,0.009324
10,performance,0.007696
10,hardware,0.007470
10,bit,0.007458
10,architecture,0.007387
10,time,0.007383
10,execution,0.006909
10,single,0.006607
10,program,0.006302
10,address,0.006191
10,branch,0.006104
10,multiple,0.006010
4,systems,0.011117
4,robot,0.010008
4,robots,0.009639
4,human,0.009365
4,technology,0.007572
4,media,0.006988
4,series,0.006774
4,time,0.006715
4,law,0.006532
4,control,0.006059
4,technologies,0.005216
4,include,0.004874
4,based,0.004522
4,people,0.004239
4,form,0.004040
4,short,0.003845
4,laws,0.003739
4,digital,0.003736
4,medical,0.003622
4,range,0.003619
1,network,0.015314
1,operating,0.013761
1,software,0.013364
1,version,0.012149
1,dos,0.011588
1,support,0.011181
1,user,0.011132
1,windows,0.009448
1,systems,0.008767
1,code,0.008058
1,based,0.007743
1,unix,0.007726
1,applications,0.007690
1,released,0.007235
1,features,0.006699
1,access,0.006627
1,apple,0.006437
1,ibm,0.006404
1,release,0.006316
1,interface,0.005997
6,science,0.016198
6,university,0.012712
6,programming,0.012077
6,systems,0.011414
6,software,0.011211
6,computing,0.011195
6,project,0.007906
6,engineering,0.007657
6,intelligence,0.006969
6,program,0.006947
6,quantum,0.006673
6,language,0.006121
6,development,0.006111
6,computers,0.005515
6,book,0.005435
6,published,0.005427
6,technology,0.005410
6,including,0.005299
6,design,0.005234
6,machine,0.005215
9,image,0.044132
9,images,0.019026
9,color,0.018723
9,light,0.013166
9,film,0.012075
9,vision,0.011106
9,imax,0.009879
9,pixel,0.009643
9,optical,0.008679
9,resolution,0.008493
9,imaging,0.007897
9,digital,0.007887
9,cnn,0.007880
9,object,0.007098
9,camera,0.006782
9,processing,0.006643
9,edge,0.006485
9,pixels,0.006372
9,projection,0.006148
9,colors,0.005469
7,company,0.021239
7,toyota,0.017680
7,honda,0.016008
7,vehicles,0.013324
7,market,0.011223
7,power,0.010050
7,japan,0.008797
7,car,0.008447
7,laptop,0.008253
7,heat,0.008120
7,products,0.008066
7,announced,0.007894
7,laptops,0.007670
7,vehicle,0.007628
7,sales,0.007567
7,air,0.007522
7,production,0.007218
7,cooling,0.007102
7,panasonic,0.006710
7,business,0.006703
3,中dd,0.027316
3,状态d,0.017104
3,图像d,0.015976
3,函数d,0.012442
3,学习d,0.012136
3,方法d,0.012046
3,输入d,0.011270
3,imax,0.010725
3,算法d,0.010501
3,一种d,0.009793
3,影像d,0.008628
3,语言d,0.008481
3,像素d,0.008479
3,计算d,0.007500
3,输出d,0.007500
3,翻译d,0.007291
3,用于d,0.006175
3,技术d,0.006167
3,xdd,0.006073
3,特征d,0.005833
2,language,0.053566
2,speech,0.046908
2,translation,0.035716
2,recognition,0.030971
2,word,0.029575
2,machine,0.021309
2,based,0.021069
2,languages,0.019598
2,document,0.017797
2,documents,0.016347
2,blender,0.015996
2,natural,0.015045
2,convolution,0.013425
2,english,0.011891
2,corpus,0.011529
2,google,0.011026
2,synthesis,0.010855
2,statistical,0.010500
2,processing,0.010221
2,retrieval,0.009083
